Row Labels,Sum of Sighting
AB,7
AL,567
AR,150
AZ,205
Bay Islands Department,3
BC,11
Bonaire,6
CA,5150
Central Abaco,1
CO,222
COA,100
CT,268
DC,11
DE,49
England,54
FL,952
GA,632
GUA,10
HI,4
IA,376
ID,41
IL,1475
IN,610
KS,503
KY,125
LA,175
MA,294
MB,92
MD,397
ME,134
MEX,27
MI,1296
MN,1516
MO,787
MS,207
MT,26
NB,17
NC,877
ND,8
NE,316
NH,122
NJ,573
NLE,210
NM,34
NS,15
NV,24
NY,720
OH,1013
OK,2073
ON,2253
OR,97
PA,853
PE,2
PR,262
QC,260
RI,32
SaÃ¯da Province,20
Saint George Gingerland Parish,1
SC,603
SD,23
SK,53
SLP,40
SON,1
TAM,10
TN,258
TX,4079
UT,256
VA,425
VIC,4
VT,60
WA,19
WI,997
WV,107
WY,8
Xinjiang,3
(blank),4
Grand Total,2147516862
